forest_type,mean_biomass,median_biomass,mean_severity,median_severity,q25_biomass,q75_biomass,var_biomass,skew_biomass,kurt_biomass,p_normality,n_pixels,hex_ID
1,59.86333333333334,59,-3000.907782389323,-2829.324462890625,42,78,502.0581828316611,0.006267607199158088,-0.7558787920560825,0.004406465286797818,300,11
2,27.154929577464788,26,-3313.6886502118177,-3493.748291015625,23,29,119.04708249496981,1.8210882822284418,5.30475161918626,7.818338029578526e-9,71,11
3,45.1764705882353,46,-3155.232808191636,-3073.742919921875,25,66,539.0994397759104,0.1572427471684017,-1.4863219975956738,1.9176025797198458e-10,85,11
1,60.506717850287906,64,-3040.570320466201,-2821.454833984375,41,79,586.0619740144692,-0.333824292252232,-0.5998412391012582,2.8086286783008123e-11,521,12
3,54.15126050420168,54,-3104.2793276490283,-2888.70947265625,43.5,70,444.7226890756302,-0.5110720710444968,0.018495254794654598,0.02834230180497722,119,12
2,59.588235294117645,70,-2322.18412511489,-2088.456298828125,51,76,593.0073529411765,-1.4527385135614297,1.4533752006371794,0.0044574399796473135,17,12
1,63.85444444444445,66,-3465.4798792860242,-3275.8779296875,48.75,82,563.5127165986898,-0.5201936516347303,-0.3278003206245776,3.2561377171924864e-15,900,13
3,60.244565217391305,62,-3163.0720447042713,-3005.9381103515625,45,77,563.8469648372535,-0.41162504543643785,-0.35187910193311456,0.01961185600379027,184,13
2,62.32608695652174,69.5,-3129.756581182065,-3138.406982421875,55,80.75,719.5579710144928,-0.9942039218911325,0.01998482623982705,4.4022288847170405e-5,46,13
2,14.323788546255507,8,-3692.0761933851873,-3557.87353515625,2,21,276.5682187278155,1.6071796435982,2.125010336556773,3.7e-24,454,14
3,9.375,4,-4151.173840840657,-4242.18603515625,2,9.25,204.70744680851064,3.156681823535877,11.912013489545513,2.1140358343703764e-16,48,14
1,9.05,4,-4120.141711425781,-4157.1156005859375,2,9.25,167.7342105263158,2.9116146694307043,9.412470441396529,6.053852537143263e-7,20,14
2,71.15705128205128,79,-2955.0309323041865,-2566.6248779296875,10,129,3107.4318472256573,0.018270370742009778,-1.60732031369131,3.7e-24,312,15
3,36.45,31,-3219.5473693847657,-3427.464599609375,6.75,56.75,1041.5236842105264,0.5279608917059045,-1.0855996157778869,0.038543819878611565,20,15
1,95.91780821917808,105,-3748.1138982903467,-3860.303466796875,62,130,1453.0764840182649,-0.6702776792747223,-0.7323399845344225,6.924655436737298e-6,73,15
1,71.9891008174387,80,-3358.582250111759,-3286.891845703125,44,98,989.0763836154912,-0.3434869634638525,-1.1407231479044464,1.0426560180791968e-18,367,16
2,76.88,82.5,-2787.4127685546873,-2802.2874755859375,61.25,95.5,629.7812244897959,-0.7728084286598288,-0.10639091807903538,0.0010617552850224548,50,16
3,65.97647058823529,67,-3116.6774126838236,-2948.8931884765625,42,90,831.5970762269404,-0.14693797668606146,-1.141601630343927,2.134708271167161e-5,170,16
