forest_type,severity_bin,mean_biomass,median_biomass,q25_biomass,q75_biomass,var_biomass,skew_biomass,kurt_biomass,p_normality,n_pixels,hex_ID
1,10-11,NA,13.5,12.25,14.75,NA,NA,NA,NA,2,5
3,1-5,33.5,30,25.25,39.5,150.28571428571428,1.187601583393566,1.2616096083505615,0.31300518437716135,8,5
1,7,20,17,13.5,25,139,1.070914799703848,NA,NA,3,5
3,8,32.333333333333336,29.5,22.5,45.5,287.46666666666664,0.18086623541776045,-1.3041037696070161,NA,6,5
2,9,NA,61,61,61,NA,NA,NA,NA,1,5
2,8,NA,47,47,47,NA,NA,NA,NA,1,5
1,8,25,23,15,33,173.20666666666668,0.9075107416148226,1.7703405171746227,3.201242599773612e-6,301,6
3,8,18.428571428571427,17,10.25,23,136.44599303135888,1.2247426319378951,1.3645672971884715,0.0018373772530992979,42,6
3,9,18.523809523809526,19,11,24,101.06190476190476,0.36453794319953703,0.37441427922761494,0.4483744145247935,21,6
1,7,20.791079812206572,19,13,26.75,143.8268378900856,1.4378612433890752,3.383760667265078,4.118181236647864e-19,426,6
3,7,17.5,15,4,29,186.94285714285715,0.4698635900788635,-1.2110812513328133,6.502346891464263e-4,36,6
1,9,24.48872180451128,22,13,32,230.34267486899066,1.1852936038277937,2.203682483423639,4.1695333414721945e-5,133,6
2,7,13,11,7,16,67.25,1.1575114327591505,0.385740542952301,0.12267008602479842,9,6
2,10-11,NA,12,12,12,NA,NA,NA,NA,1,6
2,1-5,5.870967741935484,4,3,6,33.78279569892473,2.827334473587921,9.766930532058959,2.7104378221619894e-7,31,6
1,6,17.078175895765472,15,10,22,105.20301888399226,1.407449151846752,2.517393911007201,3.7074552189065344e-19,307,6
1,1-5,14.50390625,12,6,20.25,116.60390625,1.1415697918835626,1.4434512053395727,7.834602648468548e-14,256,6
3,1-5,5.744897959183674,5,3,7,19.779612876078268,2.75266540378709,13.757462600937563,4.2103615563723115e-8,98,6
2,8,11.333333333333334,10,7.5,14.5,50.333333333333336,0.8158430891370927,NA,NA,3,6
2,6,17,14,11,22,60,0.7799758127778826,-1.3875000000000004,NA,5,6
3,6,10.862068965517242,8,4,15,90.48029556650246,1.364402665554862,1.5048159059490926,0.00112685872810565,29,6
1,10-11,26,29,17.25,33.25,162.8,-0.4081424915990762,-1.0741839673043607,NA,6,6
1,NA,16.6,15,14,15,22.3,2.173644407382908,4.777292927667952,NA,5,6
2,9,NA,5,5,5,NA,NA,NA,NA,1,6
1,8,43.974074074074075,33,18,62,1147.7358757644472,1.0829791874772157,0.3859127769315447,3.7e-24,540,7
1,6,39.084375,32,22,45.25,758.4536735893417,1.5140804840499498,2.2495660917892097,3.7e-24,320,7
1,7,41.46459412780656,32,22,52,905.9412183038409,1.337916607252183,1.306942270345324,3.7e-24,579,7
1,9,46.96842105263158,39,22,63.75,1034.528098022835,1.0991864730940248,0.7496970120765893,1.8761877043459657e-13,190,7
1,1-5,36.983565107458915,33,23,47,349.71238778024934,0.967471824364333,1.027584057746893,3.7e-24,791,7
1,NA,26,26,17,35,240,0,-1.200000000000001,NA,4,7
3,1-5,35.166666666666664,31.5,18.25,52,411.465367965368,0.29922500244520905,-0.9151076239284336,0.005894088847307669,78,7
2,1-5,17.130434782608695,18,11.5,21.5,82.2094861660079,0.2779232905457303,0.2757157270610035,0.6673174116033823,23,7
3,9,28.607142857142858,30,23,35.25,107.87698412698413,-0.3817727103955532,-0.20722400919110082,0.36029492282104636,28,7
3,8,25.21951219512195,24,18,31,134.22560975609755,0.4369668529026899,0.21102002163695097,0.795341150145235,41,7
2,8,28,23,21,29,188.5,1.7142647842617733,2.656241736860048,0.0037041832736257924,13,7
2,7,12.75,13,3.5,21,79,-0.06152379407595472,-1.8619268890058829,0.009159201866209795,16,7
3,7,21.015625,15,5,31.25,372.26959325396825,1.2630345662193454,1.5786556960271256,3.898547627612619e-6,64,7
